Solar8000/ART_DBP,Solar8000/ART_SBP,Solar8000/BT,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/RR
,,,,,
,,,59.0,99.0,9.0
,,,60.0,99.0,8.0
,,,61.0,100.0,8.0
,,,61.0,100.0,7.0
,,,61.0,100.0,8.0
,,,61.0,99.0,8.0
,,,62.0,97.0,10.0
,,,64.0,98.0,10.0
,,,66.0,99.0,11.0
,,,68.0,99.0,11.0
,,,67.0,100.0,16.0
,,,66.0,99.0,15.0
,,,65.0,100.0,15.0
,,,65.0,99.0,13.0
,,,66.0,99.0,13.0
,,,66.0,99.0,12.0
,,,67.0,99.0,12.0
,,,67.0,99.0,13.0
,,,65.0,99.0,13.0
,,,64.0,99.0,13.0
,,,63.0,99.0,13.0
,,,63.0,99.0,13.0
,,,63.0,99.0,13.0
,,,,,
,,,63.0,99.0,13.0
,,,62.0,99.0,12.0
,,,61.0,100.0,12.0
,,,61.0,99.0,12.0
,,,61.0,100.0,12.0
,,,61.0,100.0,12.0
,,,62.0,100.0,12.0
,,,62.0,100.0,12.0
,,,63.0,100.0,12.0
,,,64.0,100.0,12.0
,,,65.0,100.0,12.0
,,,70.0,100.0,12.0
,,,74.0,100.0,13.0
,,,80.0,100.0,13.0
,,,80.0,100.0,13.0
,,,79.0,100.0,11.0
,,,75.0,100.0,10.0
,,,72.0,100.0,9.0
,,,69.0,100.0,9.0
,,,67.0,100.0,8.0
,,,65.0,100.0,8.0
,,,63.0,100.0,7.0
,,,63.0,100.0,7.0
,,,59.0,100.0,0.0
,,,57.0,100.0,0.0
,,,56.0,100.0,0.0
,,,54.0,100.0,0.0
,,,55.0,100.0,0.0
,,,55.0,100.0,0.0
,,,55.0,100.0,0.0
,,,55.0,100.0,7.0
,,,55.0,100.0,7.0
,,,55.0,100.0,7.0
,,,55.0,100.0,7.0
,,,54.0,100.0,7.0
,,,54.0,100.0,7.0
,,,54.0,100.0,6.0
,,,54.0,100.0,6.0
,,,54.0,100.0,6.0
,,,54.0,100.0,5.0
,,,54.0,100.0,5.0
,,,54.0,100.0,5.0
,,,54.0,100.0,5.0
,,,53.0,100.0,5.0
,,,53.0,100.0,5.0
,,,52.0,100.0,5.0
,,,52.0,100.0,5.0
,,,52.0,100.0,4.0
,,,51.0,100.0,4.0
,,,52.0,100.0,4.0
,,,51.0,100.0,4.0
,,,52.0,100.0,0.0
,,,52.0,100.0,0.0
,,,52.0,100.0,0.0
,,,52.0,100.0,0.0
,,,53.0,100.0,0.0
,,,53.0,100.0,0.0
,,,53.0,100.0,0.0
,,,53.0,100.0,0.0
,,,53.0,100.0,0.0
,,,53.0,100.0,0.0
,,,53.0,100.0,0.0
,,,54.0,100.0,0.0
,,,53.0,100.0,0.0
,,,53.0,100.0,0.0
,,,53.0,100.0,0.0
,,,53.0,100.0,0.0
,,,53.0,100.0,0.0
,,,54.0,100.0,0.0
,,,54.0,100.0,0.0
,,,54.0,100.0,0.0
,,,54.0,100.0,0.0
,,,54.0,100.0,0.0
,,,54.0,100.0,0.0
,,,54.0,100.0,0.0
,,,54.0,100.0,0.0
,,,54.0,100.0,0.0
,,,54.0,100.0,0.0
,,,53.0,100.0,0.0
,,,54.0,100.0,0.0
,,,54.0,100.0,0.0
,,,55.0,100.0,0.0
,,,55.0,100.0,17.0
,,,55.0,100.0,17.0
,,,55.0,100.0,16.0
,,,55.0,100.0,14.0
,,,56.0,100.0,13.0
,,,56.0,100.0,10.0
,,,56.0,100.0,10.0
,,,56.0,100.0,10.0
,,,56.0,100.0,10.0
,,,56.0,100.0,10.0
,,,56.0,100.0,10.0
,,,56.0,100.0,9.0
,,,58.0,100.0,9.0
,,,60.0,100.0,9.0
,,,64.0,100.0,9.0
,,,67.0,100.0,9.0
,,,67.0,100.0,12.0
,,,73.0,100.0,12.0
,,,75.0,100.0,12.0
,,,77.0,100.0,12.0
,,,78.0,100.0,13.0
,,,79.0,100.0,12.0
,,,80.0,100.0,10.0
,,,79.0,100.0,9.0
,,,78.0,100.0,8.0
,,,75.0,100.0,8.0
,,,73.0,100.0,8.0
,,,71.0,100.0,8.0
,,,70.0,100.0,10.0
,,,69.0,100.0,10.0
,,,68.0,100.0,10.0
,,,67.0,100.0,8.0
,,,66.0,100.0,21.0
,,,66.0,100.0,21.0
,,,66.0,100.0,18.0
,,,66.0,100.0,17.0
,,,66.0,100.0,17.0
,,,65.0,100.0,19.0
,,,65.0,100.0,19.0
,,,64.0,100.0,16.0
,,,64.0,100.0,14.0
,,,64.0,100.0,14.0
,,,64.0,100.0,14.0
,,,64.0,100.0,14.0
,,,64.0,100.0,14.0
,,,65.0,100.0,14.0
,,,65.0,100.0,14.0
,,,66.0,100.0,14.0
,,,67.0,100.0,13.0
,,,67.0,100.0,15.0
,,,67.0,100.0,15.0
,,,67.0,100.0,14.0
,,,67.0,100.0,14.0
,,,68.0,100.0,14.0
,,,68.0,100.0,13.0
,,,69.0,100.0,13.0
,,,71.0,100.0,13.0
,,,74.0,100.0,13.0
,,,74.0,100.0,11.0
,,,77.0,100.0,9.0
,,,79.0,100.0,9.0
,,,80.0,100.0,8.0
,,,82.0,100.0,8.0
,,,84.0,100.0,8.0
,,,87.0,100.0,8.0
,,,89.0,100.0,8.0
,,,90.0,100.0,7.0
,,,92.0,100.0,6.0
,,,93.0,100.0,6.0
,,,93.0,100.0,6.0
,,,94.0,100.0,5.0
,,,94.0,100.0,5.0
,,,94.0,100.0,5.0
,,,94.0,100.0,0.0
,,,94.0,100.0,0.0
,,,93.0,100.0,20.0
,,,93.0,100.0,23.0
,,,92.0,100.0,28.0
,,,92.0,100.0,43.0
,,,92.0,100.0,43.0
,,,91.0,100.0,45.0
,,,90.0,100.0,43.0
,,,90.0,100.0,34.0
,,,90.0,100.0,26.0
,,,90.0,100.0,23.0
,,,89.0,100.0,23.0
,,,89.0,100.0,22.0
,,,89.0,100.0,21.0
,,,89.0,100.0,50.0
,,,89.0,100.0,100.0
,,,89.0,100.0,100.0
,,,89.0,100.0,49.0
,,,89.0,100.0,35.0
,,,89.0,100.0,28.0
,,,89.0,100.0,23.0
,,,89.0,100.0,23.0
,,,89.0,100.0,18.0
,,,89.0,100.0,17.0
